Latitude,Longitude,Price,Type,Food,Venue,Sub Category
40.761955,-73.982622,,Café / Deli,,,
40.758885,-73.988604,,Full Serve,Italian,,
40.759011,-73.988514,,Full Serve,American,,
40.759264,-73.98833,,Full Serve,American,,
40.760496,-73.987395,,Coffee,,,
40.761127,-73.98694,,Full Serve,French,,
40.759576,-73.988099,,Quick Serve,Pizza,,
40.760059,-73.984005,,Full Serve,American,,
40.759327,-73.988258,,Full Serve,Italian,,
40.76068,-73.987287,,Full Serve,Indian,,
40.760814,-73.987189,,Full Serve,American,,
40.760902,-73.987124,,Full Serve,Brazilian,,
40.760103,-73.983973,,Full Serve,American,,
40.760103,-73.983973,,Full Serve,American,,
40.755915,-73.986681,,Full Serve,American,,
40.759401,-73.988204,,Bar / Lounge,,,
40.758632,-73.988785,,Full Serve,American,,
40.760369,-73.983807,,Café / Deli,,,
40.760605,-73.983612,,Consumables,Non-beverages,,
40.760605,-73.983612,,Café / Deli,,,
40.760753,-73.983525,,Café / Deli,,,
40.760753,-73.983525,,Full Serve,Pan Asian,,
40.760753,-73.983525,,Coffee,,,
40.759351,-73.988814,,Full Serve,Japanese,,
40.76001,-73.986557,,Bar / Lounge,,,
40.762694,-73.985799,,Café / Deli,,,
40.761516,-73.983976,,Full Serve,Chinese,,
40.759101,-73.986276,,Quick Serve,Pizza,,
40.761324,-73.981846,,Quick Serve,American,,
40.76124,-73.987478,,Full Serve,Mexican,,
40.762192,-73.986164,,Full Serve,Italian,,
40.762439,-73.984492,,Full Serve,Thai,,
40.760548,-73.989734,,Full Serve,Chinese,,
40.754998,-73.986284,,Café / Deli,,,
40.759906,-73.986312,,Full Serve,American,,
40.759291,-73.988287,,Café / Deli,,,
40.761371,-73.986785,,Quick Serve,Pizza,,
40.763207,-73.985423,,Quick Serve,Chinese,,
40.760696,-73.984568,,Full Serve,American,,
40.763207,-73.985423,,Quick Serve,Pizza,,
40.76004,-73.98663,,Café / Deli,,,
40.758108,-73.987861,,Full Serve,American,,
40.760205,-73.988922,,Full Serve,Brazilian,,
40.759025,-73.986092,,Full Serve,Italian,,
40.76035,-73.984713,,Coffee,,,
40.762897,-73.983683,,Full Serve,French,,
40.759727,-73.985886,,Full Serve,American,,
40.761569,-73.98664,,Full Serve,Italian,,
40.761451,-73.986727,,Full Serve,American,,
40.76156,-73.984395,,Bar / Lounge,,,
40.759974,-73.984067,,Café / Deli,,,
40.761193,-73.985478,,Café / Deli,,,
40.76183,-73.985034,,Full Serve,Steakhouse,,
40.760024,-73.986594,,Full Serve,Chinese,,
40.75945,-73.988193,,Quick Serve,Dessert,,
40.763183,-73.984315,,Full Serve,Russian,,
40.758267,-73.985468,,Full Serve,Japanese,,
40.759727,-73.985886,,Bar / Lounge,,,
40.762674,-73.982095,,Quick Serve,American,,
40.762005,-73.982612,,Full Serve,American,,
40.757531,-73.986493,,Café / Deli,,,
40.757381,-73.989669,,Quick Serve,Pizza,,
40.76156,-73.984395,,Bar / Lounge,,,
40.760177,-73.983944,,Full Serve,Chinese,,
40.758863,-73.987641,,Full Serve,Steakhouse,,
40.757405,-73.98619,,Café / Deli,,,
40.760537,-73.984644,,Full Serve,American,,
40.760476,-73.985666,,Full Serve,Italian,,
40.760177,-73.983944,,Quick Serve,Japanese,,
40.760598,-73.989803,,Full Serve,,,
40.760556,-73.984615,,Quick Serve,Pizza,,
40.756892,-73.988958,,Full Serve,Japanese,,
40.761668,-73.984651,,Full Serve,Japanese,,
40.756082,-73.984948,,Full Serve,Diner,,
40.756917,-73.989016,,Full Serve,Mexican,,
40.759873,-73.984915,,Quick Serve,Dessert,,
